GeneId,GeneName
ENSG00000237948,MTATP6P20
ENSG00000254931,MTATP6P15
ENSG00000262381,MTATP6P24
ENSG00000263483,MTATP6P3
ENSG00000234003,MTATP6P27
ENSG00000240409,MTATP8P1
ENSG00000248527,MTATP6P1
ENSG00000229842,MTATP6P13
ENSG00000233449,MTATP6P14
ENSG00000229604,MTATP8P2
ENSG00000236878,MTATP6P26
ENSG00000232990,MTATP6P7
ENSG00000236590,MTATP6P4
ENSG00000284167,MTATP6P5
ENSG00000224299,MTATP6P16
ENSG00000235433,MTATP6P17
ENSG00000249580,MTATP6P22
ENSG00000248420,MTATP6P9
ENSG00000270307,MTATP6P2
ENSG00000262095,MTATP6P25
ENSG00000218776,MTATP6P31
ENSG00000283547,MTATP6P8
ENSG00000283626,MTATP6P10
ENSG00000227035,MTATP6P18
ENSG00000226392,MTATP6P21
ENSG00000228316,MTATP6P19
ENSG00000228097,MTATP6P11
ENSG00000226998,MTATP6P30
ENSG00000232179,MTATP6P29
ENSG00000230755,MTATP6P23
ENSG00000228122,MTND1P17
ENSG00000229088,MTND1P10
ENSG00000255123,MTND5P21
ENSG00000254747,MTND4LP18
ENSG00000255316,MTND6P25
ENSG00000255055,MTND1P35
ENSG00000254565,MTND2P26
ENSG00000253245,MTND1P36
ENSG00000258239,MTND2P17
ENSG00000257858,MTND1P24
ENSG00000226118,MTND3P1
ENSG00000228597,MTND4P1
ENSG00000232447,MTND5P3
ENSG00000229622,MTND5P2
ENSG00000227714,MTND6P18
ENSG00000258762,MTND4P33
ENSG00000258923,MTND5P35
ENSG00000259593,MTND5P40
ENSG00000259626,MTND3P12
ENSG00000259379,MTND5P32
ENSG00000263177,MTND1P8
ENSG00000262107,MTND6P33
ENSG00000261904,MTND5P33
ENSG00000262322,MTND4P34
ENSG00000262259,MTND4LP24
ENSG00000263196,MTND3P13
ENSG00000260067,MTND4LP25
ENSG00000260147,MTND5P34
ENSG00000227225,MTND1P14
ENSG00000228725,MTND2P12
ENSG00000283879,MTND6P35
ENSG00000264168,MTND1P15
ENSG00000263914,MTND2P13
ENSG00000236483,MTND2P40
ENSG00000225972,MTND1P23
ENSG00000225630,MTND2P28
ENSG00000225514,MTND1P34
ENSG00000233595,MTND2P29
ENSG00000227937,MTND2P30
ENSG00000234099,MTND4P11
ENSG00000235794,MTND3P21
ENSG00000238256,MTND5P20
ENSG00000235638,MTND6P14
ENSG00000231199,MTND5P19
ENSG00000226663,MTND4P10
ENSG00000231582,MTND4LP21
ENSG00000232714,MTND3P8
ENSG00000225723,MTND6P15
ENSG00000227860,MTND5P18
ENSG00000226700,MTND4P25
ENSG00000225045,MTND5P27
ENSG00000224695,MTND6P7
ENSG00000230158,MTND1P28
ENSG00000230950,MTND2P21
ENSG00000233286,MTND3P10
ENSG00000243104,MTND4LP14
ENSG00000234065,MTND4P26
ENSG00000223549,MTND5P28
ENSG00000238046,MTND5P22
ENSG00000237722,MTND1P29
ENSG00000231954,MTND2P22
ENSG00000283940,MTND3P15
ENSG00000230548,MTND4P27
ENSG00000234934,MTND5P29
ENSG00000248136,MTND6P8
ENSG00000227275,MTND6P10
ENSG00000235080,MTND5P23
ENSG00000231777,MTND4P21
ENSG00000283865,MTND3P18
ENSG00000234939,MTND2P18
ENSG00000234576,MTND1P26
ENSG00000231567,MTND2P19
ENSG00000223921,MTND1P27
ENSG00000226839,MTND6P11
ENSG00000224852,MTND5P24
ENSG00000232772,MTND4P22
ENSG00000236300,MTND4LP12
ENSG00000227557,MTND3P9
ENSG00000229701,MTND2P20
ENSG00000233709,MTND4P28
ENSG00000233039,MTND5P30
ENSG00000233248,MTND6P9
ENSG00000227348,MTND5P25
ENSG00000225796,MTND4P23
ENSG00000235318,MTND4LP13
ENSG00000224590,MTND3P16
ENSG00000234731,MTND4LP16
ENSG00000249177,MTND4P29
ENSG00000227841,MTND5P31
ENSG00000233134,MTND3P17
ENSG00000241221,MTND4LP17
ENSG00000227454,MTND4P30
ENSG00000232631,MTND2P23
ENSG00000227795,MTND4LP9
ENSG00000241787,MTND4P16
ENSG00000239632,MTND4LP3
ENSG00000242214,MTND3P6
ENSG00000243658,MTND5P16
ENSG00000240034,MTND6P6
ENSG00000239586,MTND1P16
ENSG00000240796,MTND2P14
ENSG00000242178,MTND4P17
ENSG00000240084,MTND4LP10
ENSG00000240824,MTND3P7
ENSG00000231888,MTND5P15
ENSG00000251252,MTND2P31
ENSG00000251212,MTND5P4
ENSG00000250050,MTND4P9
ENSG00000248133,MTND4LP22
ENSG00000251353,MTND3P5
ENSG00000248946,MTND3P22
ENSG00000249893,MTND6P16
ENSG00000250169,MTND5P13
ENSG00000248259,MTND4LP31
ENSG00000249045,MTND3P24
ENSG00000283131,MTND2P41
ENSG00000251449,MTND1P19
ENSG00000251149,MTND5P5
ENSG00000249770,MTND6P17
ENSG00000248748,MTND5P9
ENSG00000248548,MTND4P8
ENSG00000249127,MTND3P3
ENSG00000248907,MTND2P33
ENSG00000251407,MTND1P22
ENSG00000250389,MTND6P2
ENSG00000251544,MTND5P12
ENSG00000254132,MTND6P3
ENSG00000270230,MTND6P22
ENSG00000271687,MTND5P10
ENSG00000270906,MTND4P35
ENSG00000270350,MTND4LP5
ENSG00000271480,MTND3P19
ENSG00000249119,MTND6P4
ENSG00000248923,MTND5P11
ENSG00000247627,MTND4P12
ENSG00000198868,MTND4LP30
ENSG00000249192,MTND3P25
ENSG00000219087,MTND4LP19
ENSG00000220733,MTND3P20
ENSG00000220514,MTND4LP20
ENSG00000216713,MTND4P13
ENSG00000283481,MTND4LP32
ENSG00000225295,MTND4P4
ENSG00000228440,MTND5P6
ENSG00000283311,MTND6P29
ENSG00000230764,MTND1P4
ENSG00000237309,MTND2P6
ENSG00000227584,MTND4P5
ENSG00000230531,MTND5P7
ENSG00000248704,MTND4P2
ENSG00000248315,MTND4LP2
ENSG00000230052,MTND3P2
ENSG00000230252,MTND2P4
ENSG00000235646,MTND1P2
ENSG00000225959,MTND4P3
ENSG00000230999,MTND5P8
ENSG00000232922,MTND6P24
ENSG00000224042,MTND4P6
ENSG00000224354,MTND2P5
ENSG00000239648,MTND1P3
ENSG00000253257,MTND4P7
ENSG00000254015,MTND4LP26
ENSG00000254346,MTND1P6
ENSG00000254090,MTND2P32
ENSG00000254384,MTND6P19
ENSG00000253685,MTND5P41
ENSG00000253828,MTND2P38
ENSG00000282321,MTND1P7
ENSG00000254156,MTND6P20
ENSG00000253795,MTND1P5
ENSG00000253970,MTND2P7
ENSG00000235039,MTND6P12
ENSG00000231947,MTND2P24
ENSG00000238047,MTND1P30
ENSG00000235170,MTND1P31
ENSG00000228182,MTND2P25
ENSG00000235382,MTND4P31
ENSG00000234901,MTND6P13
ENSG00000232282,MTND1P32
ENSG00000229954,MTND2P2
ENSG00000226056,MTND4P32
ENSG00000234886,MTND5P26
ENSG00000227649,MTND6P32
ENSG00000231501,MTND4LP1
ENSG00000232177,MTND4P24
ENSG00000235539,MTND1P33
ENSG00000230130,MTND2P39
ENSG00000227730,MTND6P5
ENSG00000228166,MTND1P11
ENSG00000236254,MTND4P14
ENSG00000230225,MTND5P14
ENSG00000237257,MTND2P8
ENSG00000225901,MTND2P9
ENSG00000238288,MTND3P23
ENSG00000240791,MTND4LP7
ENSG00000227321,MTND4P15
ENSG00000230302,MTND3P4
ENSG00000237124,MTND2P11
ENSG00000223955,MTND6P1
ENSG00000226529,MTND1P1
ENSG00000234850,MTND2P3
ENSG00000225433,MTND1P12
ENSG00000228995,MTND1P9
ENSG00000283456,MTND1P37
ENSG00000230818,MTND2P16
ENSG00000235940,MTND1P21
ENSG00000234163,MTND4LP11
ENSG00000236626,MTND5P17
ENSG00000228694,MTND4P18
ENSG00000225276,MTND1P18
ENSG00000231152,MTND2P15
ENSG00000226794,MTND1P20
ENSG00000283578,MTND5P42
ENSG00000230338,MTND4P19
ENSG00000233377,MTND4P20
ENSG00000223431,MTND6P21
ENSG00000227999,MTND5P1
ENSG00000233764,MTCO1P20
ENSG00000231576,MTCO2P20
ENSG00000225557,MTCO3P20
ENSG00000254895,MTCO3P15
ENSG00000255417,MTCO2P15
ENSG00000255350,MTCO1P15
ENSG00000232102,MTCO3P2
ENSG00000230009,MTCO2P3
ENSG00000259045,MTCO1P2
ENSG00000259651,MTCO3P23
ENSG00000262118,MTCO1P28
ENSG00000262158,MTCO3P24
ENSG00000224254,MTCO1P39
ENSG00000264316,MTCO3P13
ENSG00000262902,MTCO1P40
ENSG00000267541,MTCO2P2
ENSG00000232579,MTCO1P27
ENSG00000230321,MTCO2P27
ENSG00000237973,MTCO1P12
ENSG00000229344,MTCO2P12
ENSG00000198744,MTCO3P12
ENSG00000232198,MTCO2P34
ENSG00000232752,MTCO3P21
ENSG00000236689,MTCO2P21
ENSG00000226960,MTCO1P21
ENSG00000232551,MTCO1P14
ENSG00000235761,MTCO3P46
ENSG00000283174,MTCO1P38
ENSG00000230327,MTCO1P42
ENSG00000237055,MTCO1P48
ENSG00000232128,MTCO3P45
ENSG00000228898,MTCO1P43
ENSG00000227788,MTCO3P43
ENSG00000236211,MTCO1P7
ENSG00000230496,MTCO2P7
ENSG00000249997,MTCO3P7
ENSG00000227661,MTCO3P18
ENSG00000234480,MTCO2P18
ENSG00000237910,MTCO1P18
ENSG00000227149,MTCO1P44
ENSG00000225476,MTCO3P5
ENSG00000231766,MTCO2P5
ENSG00000232982,MTCO1P45
ENSG00000234842,MTCO2P16
ENSG00000227736,MTCO3P16
ENSG00000223619,MTCO1P17
ENSG00000233888,MTCO2P17
ENSG00000237542,MTCO3P17
ENSG00000233311,MTCO1P54
ENSG00000236007,MTCO1P46
ENSG00000233026,MTCO1P5
ENSG00000240951,MTCO2P6
ENSG00000240309,MTCO1P6
ENSG00000242836,MTCO3P35
ENSG00000250630,MTCO1P35
ENSG00000240452,MTCO1P29
ENSG00000243257,MTCO2P29
ENSG00000242456,MTCO3P38
ENSG00000248654,MTCO3P44
ENSG00000268736,MTCO3P39
ENSG00000268391,MTCO3P42
ENSG00000251430,MTCO3P27
ENSG00000248328,MTCO3P28
ENSG00000249698,MTCO3P9
ENSG00000249386,MTCO2P9
ENSG00000251223,MTCO1P9
ENSG00000248951,MTCO2P32
ENSG00000248729,MTCO1P30
ENSG00000250808,MTCO2P30
ENSG00000251476,MTCO1P31
ENSG00000249990,MTCO2P24
ENSG00000249448,MTCO1P24
ENSG00000270388,MTCO3P22
ENSG00000270225,MTCO2P22
ENSG00000271207,MTCO1P22
ENSG00000217083,MTCO2P33
ENSG00000235040,MTCO3P1
ENSG00000220340,MTCO1P56
ENSG00000217160,MTCO2P31
ENSG00000217044,MTCO3P31
ENSG00000231537,MTCO3P10
ENSG00000236692,MTCO1P10
ENSG00000284291,MTCO2P10
ENSG00000228851,MTCO3P4
ENSG00000233385,MTCO3P8
ENSG00000234234,MTCO2P8
ENSG00000234700,MTCO1P8
ENSG00000237466,MTCO3P41
ENSG00000232975,MTCO1P57
ENSG00000230654,MTCO2P25
ENSG00000229031,MTCO1P25
ENSG00000241926,MTCO1P55
ENSG00000253556,MTCO1P4
ENSG00000253977,MTCO2P4
ENSG00000254241,MTCO1P47
ENSG00000253916,MTCO1P49
ENSG00000229760,MTCO1P52
ENSG00000237300,MTCO1P19
ENSG00000237628,MTCO2P19
ENSG00000224471,MTCO3P19
ENSG00000230916,MTCO1P53
ENSG00000224083,MTCO1P11
ENSG00000235917,MTCO2P11
ENSG00000237711,MTCO3P11
ENSG00000229080,MTCO3P30
ENSG00000232981,MTCO1P51
ENSG00000228046,MTCO3P40
ENSG00000228069,MTCO3P29
ENSG00000229690,MTCO2P1
ENSG00000235803,MTCO2P23
ENSG00000235524,MTCO1P23
ENSG00000280243,MTCO1P1
ENSG00000228930,MTCO1P3
ENSG00000200985,RNA5SP493
ENSG00000222585,RNA5SP494
ENSG00000252267,RNA5SP495
ENSG00000212542,RNA5SP496
ENSG00000251890,RNA5SP497
ENSG00000202147,RNA5SP329
ENSG00000252905,RNA5SP330
ENSG00000201856,RNA5SP331
ENSG00000212365,RNA5SP332
ENSG00000200336,RNA5SP333
ENSG00000201695,RNA5SP334
ENSG00000200687,RNA5SP335
ENSG00000201059,RNA5SP336
ENSG00000252816,RNA5SP337
ENSG00000222427,RNA5SP338
ENSG00000212289,RNA5SP339
ENSG00000252941,RNA5SP340
ENSG00000252070,RNA5SP341
ENSG00000252902,RNA5SP342
ENSG00000284736,RNA5SP343
ENSG00000223013,RNA5SP344
ENSG00000222578,RNA5SP345
ENSG00000200411,RNA5SP346
ENSG00000199315,RNA5SP347
ENSG00000274097,RNA5SP535
ENSG00000200613,RNA5SP349
ENSG00000200168,RNA5SP350
ENSG00000238965,RNA5SP351
ENSG00000200278,RNA5SP352
ENSG00000201476,RNA5SP353
ENSG00000212549,RNA5SP354
ENSG00000202187,RNA5SP355
ENSG00000251781,RNA5SP356
ENSG00000272435,RNA5SP357
ENSG00000199843,RNA5SP358
ENSG00000201708,RNA5SP359
ENSG00000252364,RNA5SP360
ENSG00000199556,RNA5SP361
ENSG00000251857,RNA5SP362
ENSG00000201942,RNA5SP363
ENSG00000252747,RNA5SP364
ENSG00000252207,RNA5SP365
ENSG00000202324,RNA5SP366
ENSG00000252366,RNA5SP367
ENSG00000201168,RNA5SP368
ENSG00000223046,RNA5SP369
ENSG00000199415,RNA5SP370
ENSG00000222302,RNA5SP371
ENSG00000212138,RNA5SP372
ENSG00000253080,RNA5SP373
ENSG00000199809,RNA5SP374
ENSG00000199845,RNA5SP375
ENSG00000212251,RNA5SP376
ENSG00000212154,RNA5SP377
ENSG00000200516,RNA5SP378
ENSG00000201469,RNA5SP379
ENSG00000252287,RNA5SP24
ENSG00000222747,RNA5SP25
ENSG00000199276,RNA5SP26
ENSG00000200709,RNA5SP27
ENSG00000200711,RNA5SP28
ENSG00000222920,RNA5SP29
ENSG00000202422,RNA5SP30
ENSG00000223076,RNA5SP31
ENSG00000252496,RNA5SP33
ENSG00000252696,RNA5SP34
ENSG00000212559,RNA5SP35
ENSG00000222129,RNA5SP36
ENSG00000202290,RNA5SP37
ENSG00000222682,RNA5SP38
ENSG00000223177,RNA5SP39
ENSG00000252999,RNA5SP380
ENSG00000200225,RNA5SP382
ENSG00000199804,RNA5SP383
ENSG00000252424,RNA5SP384
ENSG00000251756,RNA5SP385
ENSG00000272253,RNA5SP386
ENSG00000201096,RNA5SP387
ENSG00000199454,RNA5SP388
ENSG00000199480,RNA5SP389
ENSG00000222123,RNA5SP390
ENSG00000200326,RNA5SP391
ENSG00000252714,RNA5SP392
ENSG00000200293,RNA5SP393
ENSG00000201086,RNA5SP394
ENSG00000252376,RNA5SP395
ENSG00000201704,RNA5SP396
ENSG00000212625,RNA5SP397
ENSG00000200873,RNA5SP399
